Subsample,N,Coefficient,Std. Error,Odds Ratio
Gender: Female,353,0.9666087781563385,0.3639559437425591,2.629013756038183
Gender: Male,352,2.098204672531958,0.3519633625685368,8.151522116144951
Academic Level: Undergraduate,353,0.9413936882354023,0.3406009232176281,2.563551721681832
Academic Level: Graduate,325,2.3331801966561914,0.4074363103777537,10.310679437234443
Sleep: good_sleeper,407,2.3641105075244226,0.3542967659230958,10.634575234588944
Sleep: poor_sleeper,185,0.9292777440783625,27327.51777266719,2.53267927426469
Sleep: excellent_sleeper,113,0.34625678222210454,0.7287608033064648,1.4137655990839255
